É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2020/04/21 18:48:15

,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,êÂë‰,êÂë‰,êÂë‰,êÂë‰,êÂë‰,êÂë‰,êÂë‰,êÂë‰,êÂë‰,êÂë‰,êÂë‰,êÂë‰,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ïüâ™,ïüâ™,ïüâ™,ïüâ™,ïüâ™,ïüâ™,ïüâ™,ïüâ™,ïüâ™,ïüâ™,ïüâ™,ïüâ™,ëÂç„,ëÂç„,ëÂç„,ëÂç„,ëÂç„,ëÂç„,ëÂç„,ëÂç„,ëÂç„,ëÂç„,ëÂç„,ëÂç„,ñºå√âÆ,ñºå√âÆ,ñºå√âÆ,ñºå√âÆ,ñºå√âÆ,ñºå√âÆ,ñºå√âÆ,ñºå√âÆ,ñºå√âÆ,ñºå√âÆ,ñºå√âÆ,ñºå√âÆ,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá
1991/9,56.0,0,8,1,164.5,0,8,1,0,1,8,1,268.5,0,8,1,86.5,0,8,1,0,1,8,1,445.5,0,8,1,85.6,0,8,1,0,1,8,1,280.0,0,8,1,155.2,0,8,1,0,1,8,1,108.5,0,8,1,140.3,0,8,1,0,1,8,1,348.0,0,8,1,141.6,0,8,1,0,1,8,1,106.5,0,8,1,160.9,0,8,1,0,1,8,1
1991/10,84.0,0,8,1,122.1,0,8,1,0,1,8,1,347.0,0,8,1,94.4,0,8,1,0,1,8,1,533.0,0,8,1,74.8,0,8,1,0,1,8,1,17.5,0,8,1,165.4,0,8,1,0,1,8,1,232.5,0,8,1,107.5,0,8,1,0,1,8,1,206.5,0,8,1,132.2,0,8,1,0,1,8,1,22.5,0,8,1,154.5,0,8,1,0,1,8,1
1991/11,54.0,0,8,1,91.3,0,8,1,4,0,8,1,41.5,0,8,1,129.8,0,8,1,0,0,8,1,114.0,0,8,1,145.8,0,8,1,0,1,8,1,85.5,0,8,1,173.2,0,8,1,0,1,8,1,97.5,0,8,1,155.7,0,8,1,0,1,8,1,132.5,0,8,1,175.4,0,8,1,0,1,8,1,46.5,0,8,1,174.9,0,8,1,0,1,8,1
1991/12,117.0,0,8,1,73.0,0,8,1,135,0,8,1,18.5,0,8,1,112.3,0,5,1,13,0,8,1,36.0,0,8,1,143.9,0,8,1,1,0,8,1,52.0,0,8,1,129.1,0,8,1,0,0,8,1,41.0,0,8,1,132.5,0,8,1,0,0,8,1,70.0,0,8,1,172.8,0,8,1,4,0,8,1,56.0,0,8,1,136.6,0,8,1,0,0,8,1
1992/1,68.5,0,8,1,62.8,0,8,1,109,0,8,1,23.0,0,8,1,147.1,0,8,1,14,0,8,1,50.0,0,8,1,183.2,0,8,1,1,0,8,1,77.5,0,8,1,98.5,0,8,1,0,0,8,1,34.0,0,8,1,126.9,0,8,1,0,0,8,1,32.0,0,8,1,170.1,0,8,1,1,0,8,1,57.0,0,8,1,109.8,0,8,1,0,0,8,1
1992/2,53.5,0,8,1,117.0,0,8,1,74,0,8,1,9.0,0,8,1,173.4,0,8,1,21,0,8,1,36.0,0,8,1,166.4,0,8,1,13,0,8,1,107.0,0,8,1,130.1,0,8,1,0,0,8,1,28.0,0,8,1,127.3,0,8,1,0,0,8,1,27.0,0,8,1,188.5,0,8,1,0,0,8,1,46.0,0,8,1,141.1,0,8,1,1,0,8,1
1992/3,52.5,0,8,1,151.6,0,8,1,60,0,8,1,108.0,0,8,1,143.4,0,8,1,57,0,8,1,205.0,0,8,1,98.8,0,8,1,0,0,8,1,223.5,0,8,1,74.7,0,8,1,0,1,8,1,131.0,0,8,1,113.8,0,8,1,0,1,8,1,146.5,0,8,1,153.0,0,8,1,0,1,8,1,210.0,0,8,1,99.1,0,8,1,0,1,8,1
1992/4,29.5,0,8,1,149.5,0,8,1,0,0,8,1,156.5,0,8,1,173.3,0,8,1,0,0,8,1,167.5,0,8,1,172.5,0,8,1,0,1,8,1,90.0,0,8,1,198.2,0,8,1,0,1,8,1,139.5,0,8,1,178.9,0,8,1,0,1,8,1,171.0,0,8,1,207.0,0,8,1,0,1,8,1,115.0,0,8,1,192.9,0,8,1,0,1,8,1
1992/5,54.0,0,8,1,195.9,0,8,1,0,0,8,1,120.0,0,8,1,156.8,0,8,1,0,0,8,1,134.0,0,8,1,162.4,0,8,1,0,1,8,1,113.0,0,8,1,210.6,0,8,1,0,1,8,1,187.5,0,8,1,202.6,0,8,1,0,1,8,1,149.5,0,8,1,196.4,0,8,1,0,1,8,1,96.5,0,8,1,192.6,0,8,1,0,1,8,1
1992/6,25.5,0,8,1,165.4,0,8,1,0,1,8,1,134.5,0,8,1,159.2,0,8,1,0,1,8,1,237.0,0,8,1,113.0,0,8,1,0,1,8,1,165.5,0,8,1,184.2,0,8,1,0,1,8,1,173.0,0,8,1,156.5,0,8,1,0,1,8,1,158.5,0,8,1,164.0,0,8,1,0,1,8,1,125.0,0,8,1,179.4,0,8,1,0,1,8,1
1992/7,45.0,0,8,1,156.5,0,8,1,0,1,8,1,103.5,0,8,1,140.4,0,8,1,0,1,8,1,111.5,0,8,1,153.6,0,8,1,0,1,8,1,89.0,0,8,1,164.4,0,8,1,0,1,8,1,74.0,0,8,1,165.4,0,8,1,0,1,8,1,129.0,0,8,1,200.7,0,8,1,0,1,8,1,161.5,0,8,1,186.2,0,8,1,0,1,8,1
1992/8,170.0,0,8,1,137.6,0,8,1,0,1,8,1,83.0,0,8,1,119.0,0,8,1,0,1,8,1,9.0,0,8,1,184.7,0,8,1,0,1,8,1,263.0,0,8,1,119.9,0,8,1,0,1,8,1,117.5,0,8,1,170.4,0,8,1,0,1,8,1,105.5,0,8,1,177.5,0,8,1,0,1,8,1,268.0,0,8,1,140.5,0,8,1,0,1,8,1
1992/9,274.0,0,8,1,129.6,0,8,1,0,1,8,1,47.5,0,8,1,151.1,0,8,1,0,1,8,1,108.0,0,8,1,161.7,0,8,1,0,1,8,1,85.0,0,8,1,184.4,0,8,1,0,1,8,1,71.0,0,8,1,175.3,0,8,1,0,1,8,1,114.5,0,8,1,197.5,0,8,1,0,1,8,1,82.0,0,8,1,175.8,0,8,1,0,1,8,1
1992/10,111.0,0,8,1,158.9,0,8,1,0,0,8,1,145.0,0,8,1,131.4,0,8,1,0,1,8,1,328.0,0,8,1,115.6,0,8,1,0,1,8,1,62.5,0,8,1,186.2,0,8,1,0,1,8,1,134.5,0,8,1,153.3,0,8,1,0,1,8,1,199.5,0,8,1,159.5,0,8,1,0,1,8,1,64.5,0,8,1,201.6,0,8,1,0,1,8,1
1992/11,114.0,0,8,1,98.0,0,8,1,43,0,8,1,19.0,0,8,1,143.1,0,8,1,0,0,8,1,168.0,0,8,1,146.6,0,8,1,0,1,8,1,86.5,0,8,1,128.2,0,8,1,0,0,8,1,63.5,0,8,1,141.5,0,8,1,0,1,8,1,91.0,0,8,1,167.8,0,8,1,0,1,8,1,43.5,0,8,1,143.7,0,8,1,0,0,8,1
1992/12,92.5,0,8,1,78.3,0,8,1,90,0,8,1,28.0,0,8,1,105.5,0,8,1,9,0,8,1,65.5,0,8,1,164.9,0,8,1,0,1,8,1,75.5,0,8,1,122.6,0,8,1,0,0,8,1,67.0,0,8,1,133.9,0,8,1,0,0,8,1,89.5,0,8,1,156.2,0,8,1,0,0,8,1,61.0,0,8,1,116.6,0,8,1,0,0,8,1
1993/1,98.0,0,8,1,77.3,0,8,1,117,0,8,1,47.0,0,8,1,111.3,0,8,1,16,0,8,1,115.0,0,8,1,130.0,0,8,1,0,0,8,1,84.0,0,8,1,71.8,0,8,1,0,0,8,1,52.5,0,8,1,97.8,0,8,1,0,0,8,1,61.5,0,8,1,125.7,0,8,1,9,0,8,1,54.5,0,8,1,99.0,0,8,1,2,0,8,1
1993/2,105.5,0,8,1,66.9,0,8,1,174,0,8,1,82.0,0,8,1,140.5,0,8,1,8,0,8,1,57.0,0,8,1,195.7,0,8,1,0,0,8,1,59.0,0,8,1,133.2,0,8,1,0,0,8,1,66.0,0,8,1,135.4,0,8,1,0,0,8,1,109.5,0,8,1,178.7,0,8,1,0,0,8,1,63.0,0,8,1,126.2,0,8,1,3,0,8,1
1993/3,45.0,0,8,1,148.2,0,8,1,41,0,8,1,39.5,0,8,1,165.3,0,8,1,9,0,8,1,60.5,0,8,1,187.7,0,8,1,0,0,8,1,73.0,0,8,1,153.4,0,8,1,0,0,8,1,78.5,0,8,1,165.8,0,8,1,0,0,8,1,62.0,0,8,1,231.5,0,8,1,0,0,8,1,87.5,0,5,1,170.2,0,8,1,1,0,8,1
1993/4,89.0,0,8,1,164.0,0,8,1,5,0,8,1,46.5,0,8,1,202.3,0,8,1,0,0,8,1,58.0,0,8,1,183.0,0,8,1,0,0,8,1,142.5,0,8,1,218.0,0,8,1,0,1,8,1,74.0,0,8,1,193.2,0,8,1,0,1,8,1,78.0,0,8,1,201.5,0,8,1,0,1,8,1,60.5,0,8,1,213.5,0,8,1,0,1,8,1
1993/5,43.5,0,8,1,171.7,0,8,1,0,0,8,1,138.0,0,8,1,196.5,0,8,1,0,0,8,1,65.5,0,8,1,192.2,0,8,1,0,1,8,1,116.5,0,8,1,153.2,0,8,1,0,1,8,1,100.0,0,8,1,187.4,0,8,1,0,1,8,1,96.5,0,8,1,203.8,0,8,1,0,1,8,1,157.5,0,8,1,179.1,0,8,1,0,1,8,1
1993/6,73.5,0,8,1,125.9,0,8,1,0,1,8,1,124.0,0,8,1,94.1,0,5,1,0,1,8,1,260.0,0,8,1,110.9,0,8,1,0,1,8,1,300.5,0,8,1,138.9,0,8,1,0,1,8,1,305.0,0,8,1,122.6,0,8,1,0,1,8,1,305.5,0,8,1,157.8,0,8,1,0,1,8,1,361.5,0,8,1,125.6,0,8,1,0,1,8,1
1993/7,36.0,0,8,1,203.9,0,8,1,0,1,8,1,313.5,0,8,1,55.3,0,8,1,0,1,8,1,316.5,0,8,1,75.2,0,8,1,0,1,8,1,320.5,0,8,1,117.0,0,8,1,0,1,8,1,332.5,0,8,1,100.9,0,8,1,0,1,8,1,301.0,0,8,1,94.4,0,8,1,0,1,8,1,645.5,0,8,1,122.1,0,8,1,0,1,8,1
1993/8,60.0,0,8,1,175.1,0,8,1,0,1,8,1,229.5,0,8,1,115.9,0,8,1,0,1,8,1,412.0,0,8,1,102.2,0,8,1,0,1,8,1,454.5,0,8,1,120.0,0,8,1,0,1,8,1,167.5,0,8,1,134.9,0,8,1,0,1,8,1,164.0,0,8,1,135.6,0,8,1,0,1,8,1,461.5,0,8,1,120.3,0,8,1,0,1,8,1
1993/9,53.5,0,8,1,141.1,0,8,1,0,1,8,1,221.0,0,8,1,106.6,0,8,1,0,1,8,1,140.0,0,8,1,90.8,0,8,1,0,1,8,1,240.5,0,8,1,148.3,0,8,1,0,1,8,1,232.0,0,8,1,97.8,0,8,1,0,1,8,1,292.5,0,8,1,114.7,0,8,1,0,1,8,1,202.0,0,8,1,130.6,0,8,1,0,1,8,1
1993/10,256.0,0,8,1,142.1,0,8,1,0,1,8,1,78.0,0,8,1,170.3,0,8,1,0,1,8,1,156.0,0,8,1,143.5,0,8,1,0,1,8,1,68.0,0,8,1,187.6,0,8,1,0,1,8,1,83.0,0,8,1,152.9,0,8,1,0,1,8,1,86.0,0,8,1,174.2,0,8,1,0,1,8,1,96.0,0,8,1,175.8,0,8,1,0,1,8,1
1993/11,83.5,0,8,1,96.4,0,8,1,9,0,8,1,113.0,0,8,1,126.0,0,8,1,0,0,8,1,167.0,0,8,1,147.5,0,8,1,0,1,8,1,129.5,0,8,1,93.0,0,8,1,0,0,8,1,88.5,0,8,1,123.7,0,8,1,0,1,8,1,114.5,0,8,1,151.8,0,8,1,0,1,8,1,148.5,0,8,1,88.7,0,8,1,0,0,8,1
1993/12,122.0,0,8,1,63.6,0,8,1,62,0,8,1,33.5,0,8,1,108.1,0,5,1,11,0,8,1,65.0,0,8,1,153.2,0,8,1,0,0,8,1,61.0,0,8,1,117.9,0,8,1,0,0,8,1,55.5,0,8,1,129.7,0,8,1,0,0,8,1,55.5,0,8,1,164.8,0,8,1,2,0,8,1,52.5,0,8,1,147.9,0,8,1,0,0,8,1
1994/1,77.5,0,8,1,129.0,0,8,1,128,0,8,1,11.0,0,8,1,128.5,0,8,1,14,0,8,1,50.0,0,8,1,173.6,0,8,1,8,0,8,1,62.0,0,8,1,106.0,0,8,1,0,0,8,1,32.5,0,8,1,158.6,0,8,1,0,0,8,1,25.0,0,8,1,197.4,0,8,1,0,0,8,1,37.0,0,8,1,133.1,0,8,1,10,0,8,1
1994/2,222.5,0,8,1,65.9,0,8,1,226,0,8,1,52.5,0,8,1,164.6,0,8,1,19,0,8,1,88.5,0,8,1,206.2,0,8,1,27,0,8,1,97.5,0,8,1,110.8,0,8,1,0,0,8,1,53.0,0,8,1,129.1,0,8,1,9,0,8,1,77.5,0,8,1,190.3,0,8,1,24,0,8,1,87.0,0,8,1,119.1,0,8,1,6,0,8,1
1994/3,156.5,0,8,1,112.2,0,8,1,146,0,8,1,80.5,0,8,1,201.5,0,8,1,0,0,8,1,114.5,0,8,1,158.1,0,8,1,0,1,8,1,48.5,0,8,1,178.3,0,8,1,0,0,8,1,38.0,0,8,1,185.6,0,8,1,0,0,8,1,53.0,0,8,1,214.6,0,8,1,0,0,8,1,89.5,0,8,1,178.6,0,8,1,0,0,8,1
1994/4,41.5,0,8,1,200.4,0,8,1,0,0,8,1,6.5,0,8,1,235.2,0,8,1,0,0,8,1,49.0,0,8,1,209.5,0,8,1,0,1,8,1,171.5,0,8,1,181.1,0,8,1,0,1,8,1,91.5,0,8,1,213.0,0,8,1,0,1,8,1,81.0,0,8,1,231.8,0,8,1,0,1,8,1,215.5,0,8,1,180.3,0,8,1,0,1,8,1
1994/5,54.0,0,8,1,230.3,0,8,1,0,1,8,1,111.0,0,8,1,200.0,0,8,1,0,1,8,1,133.5,0,8,1,194.6,0,8,1,0,1,8,1,69.5,0,8,1,208.4,0,8,1,0,1,8,1,64.0,0,8,1,225.1,0,8,1,0,1,8,1,88.5,0,8,1,223.0,0,8,1,0,1,8,1,137.0,0,8,1,213.4,0,8,1,0,1,8,1
